EXPIRES AT           GROUP     SIZE  PATH
2023-03-19 12:37:40  ek9       1.3M  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm25/36/plt/Turb_hdf5_plt_cnt_0797
2023-03-19 12:37:41  ek9     204.0K  /scratch/ek9/nk7952/Re500/super_sonic/Pm1/18/plt/Turb_hdf5_plt_cnt_0333
2023-03-19 12:37:42  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmplssf60_v/tex.cache/f9099187c458d9e5024c7f46fbc7b5e0.png
2023-03-19 12:37:42  ek9       1.3M  /scratch/ek9/nk7952/Re500/super_sonic/Pm4/36/plt/Turb_hdf5_plt_cnt_0098
2023-03-19 12:37:45  ek9     204.0K  /scratch/ek9/nk7952/Re10/super_sonic/Pm250/18/plt/Turb_hdf5_plt_cnt_0224
2023-03-19 12:37:54  ek9      10.0M  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm25/72/plt/Turb_hdf5_plt_cnt_0829
2023-03-19 12:37:56  ek9      10.0M  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm250/72/plt/Turb_hdf5_plt_cnt_0077
2023-03-19 12:37:58  ek9     638.0M  /scratch/ek9/nk7952/Rm3000/super_sonic/Pm5/288/plt/Turb_hdf5_plt_cnt_0394
2023-03-19 12:37:59  ek9      56.0K  /scratch/ek9/nk7952/tmp/tmpd3fwkfby/fontlist-v330.json
2023-03-19 12:37:59  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmpoa8ao3wb/tex.cache/02fc3037907022f37ede246b2831cef2.tex
2023-03-19 12:37:59  ek9     108.0K  /scratch/ek9/nk7952/Rm3000/sub_sonic/Pm50/288/spect/vis_folder/spectra=0218.png
2023-03-19 12:38:00  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmp_4eidf0k/tex.cache/d7a3a41bda9e46cc59c4868a2a284f68.tex
2023-03-19 12:38:02  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmps9sf7oiy/tex.cache/96c1abddc8981efee3e8fcbc1b0e8511.dvi
2023-03-19 12:38:03  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmps9sf7oiy/tex.cache/83651d6f27bf7b36176a1e40e5077ead.dvi
2023-03-19 12:38:04  ek9      16.0K  /scratch/ek9/nk7952/Re500/sub_sonic/Pm1/36/spect/Turb_hdf5_plt_cnt_0777_spect_mags.dat
2023-03-19 12:38:10  ek9     100.0K  /scratch/ek9/nk7952/Re10/sub_sonic/Pm50/288/spect/Turb_hdf5_plt_cnt_0045_spect_vels.dat
2023-03-19 12:38:14  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmpy8rwr063/tex.cache/544d45077b7efc3d737beb68a11af410.tex
2023-03-19 12:38:20  ek9       4.0K  /scratch/ek9/nk7952/tmp/tmpeyay1vn0/tex.cache/da5c9becfd84297bed07ce4a82b99cdf.tex
2023-03-19 12:38:20  ek9       1.3M  /scratch/ek9/nk7952/Re10/sub_sonic/Pm50/36/plt/Turb_hdf5_plt_cnt_0031
2023-03-19 12:38:25  ek9     204.0K  /scratch/ek9/nk7952/Rm3000/super_sonic/Pm25/18/plt/Turb_hdf5_plt_cnt_0362
2023-03-19 12:38:28  ek9      10.0M  /scratch/ek9/nk7952/Re10/sub_sonic/Pm250/72/plt/Turb_hdf5_plt_cnt_0184
